2018-09-18T12:37:50,162; INFO; refs.ReferenceCache; 014889ca-0ea8-44cf-b7dc-66bf5730d934; [ACTIVE] ExecuteThread: '58' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de SupportTexteSite.nombreMessagesNonLus est maintenant de: 0
2018-09-18T12:37:50,178; INFO; refs.ReferenceCache; 014889ca-0ea8-44cf-b7dc-66bf5730d934; [ACTIVE] ExecuteThread: '58' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de SupportTexteSite.nombreMessagesEnseignantCollaborateurNonLus est maintenant de: 0
2018-09-18T12:37:51,520; INFO; refs.ReferenceCache; b73fb2b9-628a-486f-8096-a2e7fb902c1c; [ACTIVE] ExecuteThread: '41' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: [6048841, 6051592, 6057060, 6069440, 6076562, 6077827, 6085736, 6086328, 6088201, 6102383, 6102778, 6102924, 6103755, 6105493, 6107641, 6107898, 6107920, 6108279, 6108317, 6108905, 6110005, 6110013, 6110399, 6111193, 6111383, 6111580, 6111592, 6112375, 6112459, 6112471, 6112552, 6112834, 6112958, 6113641, 6114358, 6114797, 6114957, 6115406, 6115621, 6116025, 6116238, 6116426, 6116989, 6117190, 6118688, 6135983, 6138503, 6150122, 6161642, 6164278]
2018-09-18T13:20:44,967; INFO; refs.ReferenceCache; 09205027-762e-475d-baec-a8c6f7146bc0; [ACTIVE] ExecuteThread: '8' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: []
2018-09-18T13:20:44,988; INFO; refs.ReferenceCache; 09205027-762e-475d-baec-a8c6f7146bc0; [ACTIVE] ExecuteThread: '8' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de SupportTexteSite.nombreMessagesNonLus est maintenant de: 0
2018-09-18T13:20:44,995; INFO; refs.ReferenceCache; 09205027-762e-475d-baec-a8c6f7146bc0; [ACTIVE] ExecuteThread: '8' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de SupportTexteSite.nombreMessagesEnseignantCollaborateurNonLus est maintenant de: 0
2018-09-18T13:20:44,999; INFO; refs.ReferenceCache; 09205027-762e-475d-baec-a8c6f7146bc0; [ACTIVE] ExecuteThread: '8' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de SupportTexteSite.nombreMessagesAttenteModeration est maintenant de: 0
2018-09-18T13:20:45,813; ERROR; journalerreur.ServiceJournalErreurJdbc; 3264e93b-1774-41e0-a54e-4d620fcccace; [ACTIVE] ExecuteThread: '30' for queue: 'weblogic.kernel.Default (self-tuning)'; Erreur applicative 52554461: Erreur IO lors du téléchargement de /contenu/sitescours/043/04305/201809/site97773/modules570601/module744927/page2029900/blocaudiovideo128668/item203523/dossier.Exemple%20pr%C3%A9sentation%20orale.m4v/video.mp4.
2018-09-18T13:20:45,813; WARN; web.AccessLogFilter; 3264e93b-1774-41e0-a54e-4d620fcccace; [ACTIVE] ExecuteThread: '30' for queue: 'weblogic.kernel.Default (self-tuning)'; La requête 3264e93b-1774-41e0-a54e-4d620fcccace avec identifiant de correlation 3264e93b-1774-41e0-a54e-4d620fcccace à 'https://sitescours.monportail.ulaval.ca:443/contenu/sitescours/043/04305/201809/site97773/modules570601/module744927/page2029900/blocaudiovideo128668/item203523/dossier.Exemple%20pr%C3%A9sentation%20orale.m4v/video.mp4?identifiant=c9056fcb8645324e6a221a3575b107062ee9ff11' est lente: 16197ms.
2018-09-18T13:20:46,962; INFO; refs.ReferenceCache; a86b0a42-985f-4459-9327-f5402baf99ae; [ACTIVE] ExecuteThread: '27' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: []
